"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",12.4345566030206,3.10539427077215,4.72879772335334,10.6330688208837,16.6714620583831,33.719224751203
"tmax",1.24752044464271,-0.544793862793079,4.76670351494634,12.3969326534598,10.4257367013691,29.3696607941351
"TPI_five",8.68782916365752,3.86172563078413,1.24451490485049,15.1847483294602,14.5309440566306,40.0587415807212
"dem_10m_zaca",11.2103356209931,-0.318893391405176,2.78108839431304,21.0767177769421,19.162963379492,41.9861088032367
"flow_accumulation",8.7892665481462,3.03253034114426,0.704938366683074,10.2070476527361,11.7065879359539,35.532682170528
"sr",12.800177132616,1.51324358271904,0.622892345079573,18.1583721527738,17.5264386726814,42.7290870780801
"slope",13.8180159175874,-0.501911565857303,4.69426519257467,18.1725641099183,18.9330607090938,42.8786222945683
"TWI",0.0608711587569568,-0.0867486864371282,1.61813608756188,6.52535642899532,3.88776799005363,32.5546698032307
"cwd",14.1320388068243,0.344960613021341,5.24181716202335,12.3118000499406,16.2851644285587,39.5327261788589
"vpd_aug",1.8326744487902,0.786160840549061,10.5083716344893,11.3835839709872,13.4998391227633,35.8876285454375
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",9.27791901218798,7.06838912905522,4.99038503247228,10.0969284040593,16.4241161073245,34.8795654776011
"tmax",1.26136396456527,3.4327615363297,3.50295233821559,13.8557835077016,12.0683279016226,29.280664635719
"TPI_five",8.2350715347219,0.958912636066909,1.72384982322632,14.7763119381617,13.5207691163335,40.2531651218803
"dem_10m_zaca",10.7676915153105,-1.24252290754317,3.65776885298109,21.7646924313743,19.3107421494869,41.6640336709178
"flow_accumulation",10.5893280982726,2.51503498711804,0.375651499207984,9.07247488969171,12.3526031504498,36.5561717952443
"sr",6.19549203150496,6.0112044799984,-2.06691552941018,21.7970439314447,18.532635133744,41.1211838237609
"slope",9.88812967935163,-0.877278335295481,3.97284090026329,22.4064664556466,19.5945463447919,42.2401686420429
"TWI",1.62360829321463,-0.768375176246662,0.542955974548905,5.82122180188015,3.73630878746541,32.1521368553033
"cwd",11.8789184713358,-0.30651149406489,7.23410637025546,11.6994237331062,15.7287826052727,38.4465534884265
"vpd_aug",4.11403837813731,1.68829396632207,9.4325600343206,12.02320900531,14.7528370225997,37.6836764891031
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",7.68305163616443,6.48087215585286,4.00942836468565,7.73578146128852,13.8045133970564,29.1685517531268
"tmax",5.6122453545284,7.32931696812638,0.669271484316511,13.6219008104595,13.8043812572718,29.7209171995348
"TPI_five",5.71884210046386,6.58780735649951,-1.01047759052533,20.4511540029063,17.8789710789987,43.4369204765308
"dem_10m_zaca",14.3225799527654,1.23024684752874,4.93162099467054,13.7482414731772,17.1939256710591,39.4990106605814
"flow_accumulation",16.0770284456306,6.33116814112956,2.78541505267266,12.6852891792705,19.1683158921158,42.6353183794934
"sr",6.52438251603675,6.66032828885736,-1.40297701428719,22.5200096829144,18.7062612784766,43.7861215461104
"slope",9.33103313935488,1.50025267919425,3.21410470739739,24.055407423831,21.1447763797132,43.1079163224025
"TWI",-0.528051468837963,-0.940014651210409,1.60014576630669,5.44212327304114,3.17629964823547,31.4086956367058
"cwd",8.54213114769954,0.775206938467874,3.60850245318499,12.0910252995953,13.0730332709737,35.206487880171
"vpd_aug",1.47408594831056,3.99286005066897,10.1746764797169,13.0140294000818,14.9965310638974,36.2873961453428
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",5.74492008091363,7.20405690835919,1.18105612990499,10.0082092129899,12.6523158764853,30.5274621701279
"tmax",2.16396721811464,4.91150695420449,5.69799884720535,16.5762261565013,15.2281146960337,32.0982282534008
"TPI_five",4.20546597381956,6.25557198999331,-0.259197806347775,20.3100639973944,15.9060608831851,43.8120378542183
"dem_10m_zaca",8.78427461151358,1.04295730448335,2.12388671791719,17.2466565844387,16.6577320413215,39.5567222166307
"flow_accumulation",12.8867572663956,3.55812102727535,2.23958420755149,10.9149723937443,15.5284194923957,39.2578601150666
"sr",3.96771509309061,3.94038204686275,0.386951268327074,18.3507189030012,14.1263009593857,39.9219622847177
"slope",6.27871463829286,3.09804157243225,6.49692559203652,20.5323448628033,18.9207699697859,43.4801020043592
"TWI",0.380783911176211,-2.84287965510057,4.28111100181638,3.43218165488256,3.26537391132814,31.1573636674551
"cwd",10.1510480439583,4.53547312916284,-0.673151909193395,13.6710994615861,14.9219394154748,37.5849835002509
"vpd_aug",-0.549574367162729,6.78238302225152,9.57892301665155,10.9962903873503,15.04760167369,36.8571499337721
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",6.53891614058135,3.91346081102089,3.57546203030634,10.8538580463267,13.5226524573198,31.5177283204854
"tmax",0.561976213663475,4.67952407184651,2.70644827943585,14.7975035981984,11.8140641795543,31.6940532378841
"TPI_five",5.84056238301519,5.67335000363507,-5.4772052590517,18.5648736021536,14.2641494500605,40.566510579367
"dem_10m_zaca",12.4050047753434,1.28643005109457,1.43004988586385,21.531607814319,20.2213091960732,40.7862829646553
"flow_accumulation",12.0703069309405,3.70826748312627,-2.07781431813362,12.4505423159887,14.3471323623336,36.4164750048395
"sr",6.46334791864115,4.03762733366899,-0.73607355625067,18.3952546861569,15.8764177007311,38.9330364865059
"slope",9.93716939964991,3.78640954550891,3.4348156942639,25.5689821779078,23.224254032725,43.8826762964267
"TWI",2.15083718490541,1.28233298715481,-0.962199667173266,5.92700319422949,4.12584127686578,30.9250743222694
"cwd",16.8287006600958,2.35823866211914,1.61153577580637,18.8757011833436,20.7614510895259,41.0018393265652
"vpd_aug",0.945061416166881,3.63121039413869,11.3560886992637,15.7066181033712,17.9047324474041,38.4986274610013
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",11.043564800849,2.60494350256754,5.53815019450836,10.4071377489211,15.2318389304733,32.8312235528473
"tmax",0.945993063079339,4.47527367208514,3.37159935204178,12.6768417123685,11.7410049469259,28.2202947182181
"TPI_five",9.71773904604428,2.39981019650561,-1.18664719214226,20.147219859253,16.3523703668941,42.5237648343542
"dem_10m_zaca",7.88066958866072,-1.23229612713101,4.59622045217635,19.2714588889135,18.5202690392171,39.2247982090874
"flow_accumulation",15.0708169199672,6.25506722469567,-0.575831714930423,14.8241435254284,19.438727572683,36.9606815491453
"sr",10.2104545514708,3.57943417190218,0.918514035168239,24.8215606421505,22.2727312485422,43.8163447801667
"slope",13.4508452526811,-1.40407906871671,5.34613945913518,25.7688196046054,22.231700894267,42.9022044371375
"TWI",1.0525071206547,-0.40389986229687,-0.341824694875003,9.04980953399093,5.44799636124711,29.5918026665877
"cwd",17.759059197452,5.1717453550911,3.58532379646105,17.4892612902752,23.2642570956681,42.0483644805341
"vpd_aug",4.09450543449678,2.10347938920209,12.1810291182586,13.8350319412488,18.566382647345,36.1424647719211
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",2.77388006396379,6.9956988075677,2.73584197358984,8.04857443977806,10.7838997503136,28.6369495670936
"tmax",1.43686200534968,2.86687522425761,2.43132267759266,16.3942044899753,12.0191323080366,29.9721512993274
"TPI_five",10.145852844784,3.4185951947916,-1.9550336099004,18.8866856663387,16.0394068319034,44.8440107383939
"dem_10m_zaca",10.0051159152691,0.595817269194598,4.82574428487975,21.262591008268,20.599107798428,40.4688940086798
"flow_accumulation",18.0411595577182,4.99386481801806,0.489259882813813,12.0777488884741,18.7733050507729,40.0671998985662
"sr",6.67961626000663,3.51698259818276,-3.35563185158968,17.0378984851803,13.8485140729761,39.4993989685961
"slope",13.5947476464205,-0.589824368982958,-3.67326937253354,22.0374329688466,17.3321246693669,44.4890332028912
"TWI",1.85727792345834,-1.56386925820572,1.4639023179692,8.22342001408197,5.1849811543649,31.3444105757164
"cwd",10.0145656248312,2.93840026827893,4.16042401380218,13.1067562406189,16.1162912398298,39.8008628075562
"vpd_aug",2.01955091082741,2.42578976812697,5.83360768659712,13.2088584076402,14.3126451040505,35.1344489331789
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",7.27848684907944,6.35632419489056,6.45718957458251,10.946187356027,16.4864723104923,31.3792685544371
"tmax",0.845123151663208,4.88455511639886,1.56416750707096,13.4247222447146,11.5865281985048,28.313265492717
"TPI_five",9.52942812255864,1.72774403477813,-2.71872665471241,19.1850380723559,14.9751735274525,41.1195525362653
"dem_10m_zaca",16.6538904085355,0.66751279228834,4.93721176626375,20.2106498367008,22.3626598679464,44.8986995825018
"flow_accumulation",19.8441091312384,1.88153046090646,0.489857183109003,12.1830987612685,19.3243197308609,39.2387548049086
"sr",10.8260136561817,9.59080808851939,-6.5246686241712,15.2772351937046,15.4222488094183,41.0004652990149
"slope",9.58937692421483,5.73986914985376,3.05958001615673,18.8541973089164,18.5759214577675,41.7290952173275
"TWI",1.3287662715174,2.69229141215321,2.16375518984374,5.06048066046778,6.27720073619783,32.4440664973344
"cwd",9.68979770123599,0.554227363835755,2.9699822428222,13.7529074032364,15.021309272349,37.2350438259464
"vpd_aug",2.59374656723593,5.64040848498611,9.37634778624522,11.7807666040347,15.1577435023223,36.8792521895465
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",5.24640974331549,6.75969903668206,5.17810438792245,7.15655596133316,13.9866222692724,31.9335893435321
"tmax",3.19804276195953,5.59695065037862,4.60993640621598,12.3199619071642,13.5561245095684,28.7621839783287
"TPI_five",6.35644752253605,5.0628886474879,-2.91285727338061,12.9215010062989,11.03781617154,39.9503821558154
"dem_10m_zaca",11.6619034302674,1.81046557625778,4.25908685854453,21.0643109624986,20.7419294346011,40.9121049279175
"flow_accumulation",9.98703953155279,3.09670210141802,0.861831422871563,8.38652423035809,11.781509003099,36.5470074601212
"sr",6.75644709364003,5.95925718938593,-1.9674399983356,22.3599016437558,18.3374660432141,44.1073458228907
"slope",12.3614364313921,5.60639537648765,6.17943558512872,24.9238385133681,24.5696612267648,47.2973162512438
"TWI",-2.30155714786676,-0.370957297030181,1.69177154092948,6.58196835185056,2.89522341615613,31.5019753068389
"cwd",9.13098226746292,2.96364506564418,1.87494563964614,15.8785199099237,15.9316856357716,37.6626917986276
"vpd_aug",3.43910452493102,1.62839318944451,11.4755895571658,12.2655118262924,15.5838229878571,35.5565069546835
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",9.38904711972542,3.60940603967207,3.12181621910571,10.8180238059868,14.1107895928268,32.7527462610875
"tmax",2.04090347845815,3.46348861049947,1.12056649941803,13.8368777584187,11.5959266424562,29.7197532586917
"TPI_five",9.11678969088199,6.96048554986337,-2.35612476724053,17.5777678461012,17.5170509477844,43.90037741369
"dem_10m_zaca",9.37169682530947,-0.559287815689684,1.37144790952286,18.9610919055827,16.7386219095106,40.0955252349789
"flow_accumulation",8.99060151542565,5.55805752735599,-2.37110191715225,11.6673093761685,12.8271519512276,37.8574525396588
"sr",9.53747875834787,5.83136409664305,-3.22588851199904,20.6218803600891,18.5259511653965,42.5747539662533
"slope",10.5664980218544,2.37067696053202,2.28190145194622,20.6923126714289,19.8517903157877,45.338146757425
"TWI",1.22865772038639,-0.491489453517739,2.96314415260413,5.18246901170772,5.03542513956837,32.3719699343158
"cwd",7.03949430296208,2.01059731779547,2.26201668152044,12.0929938551033,12.0356337180629,35.5032759328039
"vpd_aug",0.350489115610821,1.25273746263432,6.73753875421608,11.644912553269,11.6195027879334,34.1414467010947
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",3.58373524259127,5.8361358263489,4.87062768572703,7.83686066411335,11.5423613958251,28.5751154022416
"tmax",-0.926208600690102,8.81198321018533,5.64808793775977,17.9736061366081,16.0585572891351,29.9099871592951
"TPI_five",10.6258289715482,1.27329802980287,-1.20582097433873,25.5035917041849,18.8921404032358,45.6052119369084
"dem_10m_zaca",13.9216369314488,0.66265401720205,4.37393587271243,17.2322031572801,18.8560480697225,39.9061422229477
"flow_accumulation",14.0265993965047,1.71586231016029,1.80270411457324,11.9392471259008,16.1108123996519,38.4442940490792
"sr",7.69653237985586,3.95605198134127,-1.28127741473482,18.367054822748,15.6093061338811,39.8725803837232
"slope",10.9047044168161,2.62435510644372,-0.0976815608751393,20.5292626352402,18.4072558478712,43.5222315950334
"TWI",4.33613499920178,-1.55719880850457,3.35454236796169,1.92004456952837,4.32196310653392,32.5949287563473
"cwd",14.8496986011299,2.95377017082989,10.3376582657494,12.0608926193915,19.7028209506246,41.3809063485287
"vpd_aug",-3.12242418325262,5.05569740249658,10.3727103632137,14.8391811430549,15.1699389349347,34.3819861458948
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",5.1090419166583,2.34699938243827,4.1105068676014,7.02958844869473,10.1209506006159,28.4320233778491
"tmax",2.29068858859495,2.62613771479485,4.06543098524362,15.3876469085307,14.1959697527102,29.7399313392701
"TPI_five",10.3672231267746,4.10409921960609,1.52566359882915,18.0768556827905,17.5582820699017,44.8710887070691
"dem_10m_zaca",8.66204301705949,3.43518304836854,3.21585294894752,16.3482845497751,18.3837895205944,39.3716470684002
"flow_accumulation",13.6209008038006,3.23976151189952,-1.20478032700648,10.7168880178479,13.738567604243,39.7831505014807
"sr",8.92568317268767,0.0303331943681579,-1.25916119768129,16.4848426757575,14.1472469982735,42.6981597812779
"slope",9.42269550781535,2.86309960721908,1.99820027342256,15.2863210341705,15.4598693996275,40.7114438862914
"TWI",0.473582329547534,0.00997984139531943,2.30051309013469,4.88722301284021,4.00834564571534,31.9004335205868
"cwd",9.26571947630631,2.95235865831282,0.406096804613493,16.9230469621318,15.9697858975119,41.3749110405161
"vpd_aug",0.432932390695478,0.921395634826199,8.25048172023787,12.0795048891847,12.9758541126289,35.4008187772583
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",9.34117676974857,8.3007777096745,5.99369412471646,10.477891472047,18.5364641462281,32.991981605125
"tmax",5.89421287182137,4.23332682122579,-0.953488042903551,13.1807671950846,11.9678038959472,29.0749849892811
"TPI_five",6.45886090303654,7.81282895263863,-2.56932804947781,21.7431429321283,19.3996697817328,46.035451957667
"dem_10m_zaca",8.12264202370324,2.06729920230878,3.19380242602853,21.0887837580759,18.3663962576724,38.6889641862599
"flow_accumulation",11.1795831831319,7.62293710695167,-3.08502391989895,15.3228175172743,16.2951805778355,38.8286736159305
"sr",7.61247492752228,5.12628557539888,-1.41424181954678,19.8085361058848,17.1336463520623,39.7761571287572
"slope",13.6249018027308,6.43050826992081,0.309924295837473,22.9446219401539,22.4086985183538,43.135474393728
"TWI",0.0837907663590707,6.07864568969115,1.97405558946702,5.44717693083463,7.42395081677379,33.7371891119162
"cwd",8.32571874039711,3.8279088580684,2.02590941188271,14.9189469726907,15.2418514270077,35.7954567460728
"vpd_aug",3.45339804384811,4.47608863652063,10.643622650929,11.8259728174494,15.2785591068176,36.212938265262
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",9.27252339336439,2.52769231087556,4.86162805620117,10.1599439225206,14.1996371431635,32.8001696905298
"tmax",1.23002007640451,4.61621226669682,4.05486094722849,14.5940804807261,12.5883121392626,30.0663384650299
"TPI_five",9.74204199803595,5.77954407622922,-3.27644464417792,18.6354859874896,16.9049484945864,42.4637808564819
"dem_10m_zaca",8.70512716599714,3.19870636880399,1.18476132365212,15.0184643957698,15.3447547528308,36.5887395230167
"flow_accumulation",11.7590607258127,4.96598054390682,-0.0986554178911946,8.76296163954812,12.7003956881026,37.7873208332053
"sr",2.53610600747185,5.64564300401009,0.781531912835759,22.0126471675274,17.9937058322684,43.1201175145795
"slope",14.5234652661178,5.37570257218599,2.46098300171482,21.5923808416333,23.6879116588663,45.0326366827183
"TWI",-0.399174858224638,1.94751499795765,1.90506735536203,2.54351289385948,3.13004030849682,32.1432681262906
"cwd",13.4073672578849,2.19437424203235,2.93086396114943,14.6203577468603,17.3345681760935,38.1595514674691
"vpd_aug",1.86875606555776,2.46612828416009,8.25996723834108,10.9420202243766,12.8306537106883,36.1081328406789
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",12.3989920803859,6.10619042941271,2.9540503410182,9.530348862673,16.5348404067734,32.7283419851432
"tmax",2.51156672895328,4.64901750842537,1.9163703449195,15.0516317364784,12.9903847083771,30.0817257335286
"TPI_five",6.89720366822568,2.88746329551581,-4.46984780611753,18.2427345483353,12.838712128966,41.1720210926506
"dem_10m_zaca",9.55478144379562,1.5323434285757,2.74473667400465,18.2730558290632,17.1244557583953,40.907971995999
"flow_accumulation",18.9168303511928,4.3022220069126,1.35398506875532,8.88988228685602,17.3820436556523,38.8797155462755
"sr",0.427583407995909,7.74485730759269,-1.82224161749015,17.4399844220258,12.2833749026831,39.5855295067002
"slope",11.5993023130248,6.5567791420055,3.00207234692296,19.290912154867,22.2371313165363,42.9992998240287
"TWI",2.24430880267272,-0.252937294905407,4.40185163676537,4.9025127554906,6.05489720064465,32.5569030723225
"cwd",10.7592507280053,2.26573935350562,1.96780294076791,14.7156465754051,14.7335808913497,39.2557251562304
"vpd_aug",-0.304468446891628,2.07836812702531,4.03373520646595,14.9668612301512,12.3898933601548,36.0500540871212
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",4.67211765040718,6.60190807278675,3.20262222568636,8.62757149056564,12.3605356293149,31.0589511869365
"tmax",4.38731078530373,8.11773968224175,2.22657931978029,16.789266177046,16.7510181939061,30.6984364766238
"TPI_five",7.22253193718656,4.78716102518093,2.74745347739584,19.5755726698741,18.9597891924271,42.1749540074943
"dem_10m_zaca",15.3142826345918,-2.14858208587164,0.144507476625856,20.0022653743107,18.9214777957386,38.7532091971919
"flow_accumulation",16.437227815944,2.44961569763413,3.86371894953453,13.745019480273,18.9874621670227,41.4572473292176
"sr",3.54918346185836,8.79996112626571,-2.00242265637679,20.2101055386906,17.0818849544051,39.7922102652289
"slope",12.9328874284391,4.55925254507189,3.76342826614187,22.499849086571,23.1546935311822,44.7020924379236
"TWI",5.35188238898206,-1.00910745019049,3.00618841084293,3.82308736338366,6.02020688099638,32.5005581199572
"cwd",11.5619181394829,1.071283862029,2.26648314304716,12.2461949188781,15.1798484946596,36.0064545234262
"vpd_aug",2.80971063101921,5.51243821116416,9.23877864353437,12.9036552807548,17.9753203473466,37.1184944559997
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",7.92784776825149,5.00974291158323,1.75354554924388,10.0837783848429,12.8365338426486,28.7259788053811
"tmax",4.32397998529597,8.58501996746308,2.43602422885829,16.7106206137353,16.7383396225692,29.8182669037576
"TPI_five",11.2822459578257,6.66927804765943,1.46236674459773,22.3738527297594,20.9071546476643,45.651194868829
"dem_10m_zaca",12.2935389628995,0.927393193694112,0.380058293637823,19.4147041837901,19.5102232419555,38.6575743974848
"flow_accumulation",14.6943015565155,0.865767942240189,0.821175686155302,11.5162779244913,15.0882623837314,37.8340856740938
"sr",11.2426644634592,5.86433888145889,-1.19657165795133,18.121944392318,17.5643454223765,42.1087278863013
"slope",16.0685744433858,5.08654559403304,0.624429945195311,21.1205885555445,22.8299511970579,44.8420215651879
"TWI",0.013306266413751,0.682385195264435,1.90715881432324,5.10661585126761,4.26184224777564,31.1862818922026
"cwd",10.8110346148737,5.3516185777008,5.26671470426725,14.0303293091008,17.4317901927979,37.3363248645616
"vpd_aug",7.74642746004399,5.86579188821463,6.98722675929295,13.3776548261361,18.5247867914795,38.0861511422
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",11.3624699253277,7.07077732058628,3.41556674112134,9.50384764067982,16.8965753508264,33.1450887939746
"tmax",1.85029627646944,5.65306379249149,4.49539233608036,14.7258928096871,13.6801744341791,30.0766914181579
"TPI_five",17.267122868796,1.89317732395374,1.40564598156589,19.7698841132332,19.6281358697344,44.6042994374491
"dem_10m_zaca",12.2807078617752,1.56612913802918,2.8391139851169,18.6315179081683,19.0565282043654,40.2598346365557
"flow_accumulation",10.7768485835099,0.910884734368977,0.366957392522967,14.3211962029802,13.7080611102499,36.4205528387265
"sr",10.2560527516449,5.40165384956287,-2.98613801759807,22.7244732387989,19.3748027024721,41.7963396723778
"slope",14.1939244881601,3.45946002035459,2.75541641877477,17.2694763034754,19.9985152228543,42.7863102075777
"TWI",-0.650199279179801,-1.02070250966907,2.93645633740228,3.83385477147222,2.6611320196162,30.8023906620489
