OBJECTID *,FID,prefire,postfire,centroid_l,Shape_Leng,Shape_Area,random_sor,Change_in,OBJECTID_1,MEAN,mortality_qualitative,
67,66,25_75,25_75,"34.7112262695948, -119.804273024938",910.000543,14100.01244,0.889025,No Change,67,1872.335362,None,
68,67,75_100,75_100,"34.7136454337276, -119.802478813711",770.001437,11400.00173,0.670793,No Change,68,1877.140913,None,
69,68,25_75,25_75,"34.7082608285072, -119.795052986219",1630.001978,45975.01339,0.296402,No Change,69,1820.054079,Low,
70,69,25_75,25_75,"34.7125152207983, -119.802374721214",1240.000359,30450.01964,0.449676,No Change,70,1882.148934,Low,
71,70,75_100,75_100,"34.7096254414578, -119.796741758473",600.001029,10700.00062,0.038,No Change,71,1819.379002,None,
72,71,25_75,25_75,"34.7095808527267, -119.795333459573",840.00074,23175.0114,0.213162,No Change,72,1813.849267,Low,
73,72,25_75,25_75,"34.7096926055339, -119.792563291343",1090.000552,25725.01261,0.39492,No Change,73,1794.282248,None,
74,73,25_75,25_75,"34.7097981684324, -119.798761494894",1740.000283,55850.02167,0.199055,No Change,74,1833.149149,Moderate,
75,74,75_100,25_75,"34.7098256712362, -119.780492488986",719.999134,14250.00415,0.943659,Low Mortality,75,1752.886016,Moderate,
76,75,25_75,25_75,"34.7100472367099, -119.803727035652",619.99993,13500.00445,0.319915,No Change,76,1866.704825,Low,
77,76,75_100,25_75,"34.7110897532097, -119.802203501535",1000.000848,21750.00217,0.514727,Low Mortality,77,1859.916018,Low,
78,77,75_100,75_100,"34.7107475587055, -119.804510646129",889.999842,10400.00749,0.346606,No Change,78,1876.957887,None,
79,78,25_75,25_75,"34.7119606133527, -119.806986879129",840.00164,11674.99349,0.615572,No Change,79,1908.248697,None,
80,79,25_75,25_75,"34.7099894234222, -119.801223974344",1719.998582,33925.00599,0.640543,No Change,80,1839.871411,Low,
81,80,1_25,0,"34.7004322336454, -119.576807169507",1210.000058,15975.01177,0.82282,Complete Mortality,81,1462.263862,High,
83,82,25_75,25_75,"34.7414918028953, -119.629108778281",479.998223,6300.006099,0.989841,No Change,83,1425.684152,Low,
84,83,25_75,0,"34.702400415386, -119.59238171611",850.001141,10425.00349,0.000786,Complete Mortality,84,1713.88737,High,
85,84,25_75,25_75,"34.7042894964087, -119.626563812267",610.000429,13049.99063,0.365146,No Change,85,1712.301157,None,
86,85,25_75,25_75,"34.7011316595283, -119.592696859843",989.998947,13400.00533,0.077942,No Change,86,1726.176136,None,
87,86,1_25,1_25,"34.7078332689712, -119.592821998061",1130.000754,22224.9895,0.987924,No Change,87,1577.070257,High,
88,87,25_75,1_25,"34.7069734086913, -119.606196677034",750.00014,14149.9994,0.751058,Low Mortality,88,1727.517381,High,
89,88,1_25,1_25,"34.6972447499593, -119.656971567917",1069.999551,36900.01754,0.995325,No Change,89,1976.706001,High,
90,89,25_75,1_25,"34.7003623831211, -119.656621051874",1920.765085,64313.28171,0.055468,Low Mortality,90,1873.20396,Moderate,
91,90,25_75,1_25,"34.7033051695134, -119.673538406408",650.000631,14549.99931,0.586242,Low Mortality,91,1782.155805,High,
92,91,75_100,25_75,"34.7007681333512, -119.676171725219",1549.999474,25399.98525,0.322496,Low Mortality,92,1792.140642,Moderate,
93,92,75_100,1_25,"34.7043374510432, -119.668146336549",934.417114,19555.03966,0.055829,High Mortality,93,1697.602026,Low,
94,93,75_100,1_25,"34.7053235679971, -119.660324057288",1150.000855,19150.00996,0.797773,High Mortality,94,1682.52236,High,
95,94,25_75,1_25,"34.704594336893, -119.665987266259",1130.000554,24750.00636,0.766386,Low Mortality,95,1690.544231,High,
96,95,25_75,1_25,"34.706453623007, -119.641625664661",680.000132,12750.00364,0.924666,Low Mortality,96,1619.548212,High,
97,96,25_75,25_75,"34.7071188967201, -119.6368199926",479.999523,8449.999809,0.204136,No Change,97,1584.860401,High,
98,97,75_100,1_25,"34.7082865264837, -119.668349904152",549.999026,7349.997448,0.199901,High Mortality,98,1604.167992,High,
99,98,1_25,1_25,"34.7079748943247, -119.687543310614",679.999832,16500.00623,0.449829,No Change,99,1825.471621,None,
100,99,75_100,0,"34.7091631539618, -119.673590467558",1060.00045,21924.99326,0.398234,Complete Mortality,100,1709.868414,High,
101,100,75_100,0,"34.710533221395, -119.654231022065",1300.000162,20800.00459,0.331966,Complete Mortality,101,1744.441016,High,
102,101,25_75,25_75,"34.7110207180289, -119.646258542438",470.000823,8050.005265,0.160886,No Change,102,1566.102432,Low,
103,102,75_100,1_25,"34.7097742688075, -119.64249918179",1129.999554,11750.00587,0.025104,High Mortality,103,1579.881675,High,
104,103,75_100,0,"34.7142711352481, -119.688344072034",510.000424,10374.99624,0.358534,Complete Mortality,104,1719.409183,High,
105,104,75_100,1_25,"34.71276424396, -119.684095172176",2930.001439,75950.02227,0.786911,High Mortality,105,1687.643821,High,
106,105,75_100,1_25,"34.7145028798904, -119.670569287015",1339.998964,23225.01438,0.148053,High Mortality,106,1523.835369,High,
107,106,25_75,0,"34.7150164031357, -119.689097947925",470.000822,5374.998429,0.981333,Complete Mortality,107,1699.708333,High,
108,107,75_100,1_25,"34.7084433043434, -119.67763345965",3841.472658,134081.0502,0.157098,High Mortality,108,1703.153908,High,
109,108,25_75,0,"34.6983763834748, -119.656123511502",1032.788478,18931.61047,0.740982,Complete Mortality,109,1995.474823,High,
110,109,25_75,1_25,"34.7078926626923, -119.658066229917",760.000436,17150.00246,0.842418,Low Mortality,110,1711.896741,Moderate,
111,110,75_100,1_25,"34.7114111650218, -119.647333121859",549.998826,8174.998154,0.328777,High Mortality,111,1569.102949,Moderate,
112,111,25_75,1_25,"34.709708506337, -119.678743731887",1509.999272,55300.01787,0.066713,Low Mortality,112,1667.665577,High,
113,112,75_100,0,"34.7116287012205, -119.654401742897",920.001244,25350.01055,0.356802,Complete Mortality,113,1678.710123,High,
114,113,75_100,1_25,"34.7067990562291, -119.66011436051",4217.381412,118729.5561,0.644263,High Mortality,114,1661.393318,High,
115,114,75_100,25_75,"34.7148297106676, -119.681332787401",1429.999568,24550.01484,0.464003,Low Mortality,115,1577.136654,Moderate,
116,115,25_75,1_25,"34.7150646680842, -119.675955215644",1360.000465,27275.00258,0.130942,Low Mortality,116,1546.063101,Moderate,
118,117,25_75,25_75,"34.7019220522435, -119.703510031106",889.999142,16850.00446,0.197798,No Change,118,1503.505126,None,
119,118,25_75,25_75,"34.7083279031561, -119.672526564389",1220.415305,17617.2244,0.185152,No Change,119,1694.826436,Moderate,
120,119,1_25,1_25,"34.7127814013278, -119.647234430937",1420.001868,21325.01618,0.305851,No Change,120,1521.060616,None,
121,120,25_75,1_25,"34.7120944429545, -119.676254179598",1440.000169,41900.0113,0.915574,Low Mortality,121,1618.219242,High,
123,122,25_75,25_75,"34.7031541526181, -119.625712622617",589.999829,10550.00355,0.393877,No Change,123,1683.436946,None,
124,123,25_75,1_25,"34.6956078685635, -119.658351712297",812.092865,10262.7669,0.802331,Low Mortality,124,1952.955525,High,
125,124,75_100,25_75,"34.6956874996297, -119.669011017047",769.999437,15899.99596,0.683549,Low Mortality,125,1888.978569,Moderate,
126,125,25_75,1_25,"34.6963307386991, -119.663736516465",750.000236,13600.01091,0.33378,Low Mortality,126,1851.673876,Moderate,
